"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,    7900,,    7230,,     670,,    7900,,    7230,,     670,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,  206745,,  150540,,   56205,,  206745,,  150540,,   56205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,  212125,,  194810,,   17315,,  212125,,  194810,,   17315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,    3170,,     885,,    2280,,    3170,,     885,,    2280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,    3170,,     890,,    2280,,    3170,,     890,,    2280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data",151,18931385,, 9268555,, 9662825,,18931385,, 9268555,, 9662825,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152, 6664380,, 3447130,, 3217250,, 6664380,, 3447130,, 3217250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,  727515,,  160315,,  567205,,  727515,,  160315,,  567205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,  727515,,  160315,,  567200,,  727515,,  160315,,  567200,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,  467905,,  208365,,  259545,,  467905,,  208365,,  259545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,   74530,,   53995,,   20535,,   74530,,   53995,,   20535,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,  393375,,  154370,,  239005,,  393375,,  154370,,  239005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,  614815,,  232425,,  382390,,  614815,,  232425,,  382390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,   76540,,   16200,,   60340,,   76540,,   16200,,   60340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,  133800,,   38310,,   95485,,  133800,,   38310,,   95485,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,  191005,,   71770,,  119235,,  191005,,   71770,,  119235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,    3140,,    1250,,    1895,,    3140,,    1250,,    1895,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,   37870,,   21930,,   15940,,   37870,,   21930,,   15940,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,   52295,,   31200,,   21090,,   52295,,   31200,,   21090,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,   82565,,   43475,,   39085,,   82565,,   43475,,   39085,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,   37600,,    8285,,   29315,,   37600,,    8285,,   29315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",, 1417625,,  453100,,  964525,, 1417625,,  453100,,  964525,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,   20300,,    4595,,   15705,,   20300,,    4595,,   15705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,  152080,,   56125,,   95955,,  152080,,   56125,,   95955,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,  259845,,   19160,,  240685,,  259845,,   19160,,  240685,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,  241170,,   76720,,  164445,,  241170,,   76720,,  164445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,   27310,,    6390,,   20920,,   27310,,    6390,,   20920,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,  218470,,   51570,,  166900,,  218470,,   51570,,  166900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,  498450,,  238540,,  259915,,  498450,,  238540,,  259915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",, 2696770,, 1000895,, 1695875,, 2696770,, 1000895,, 1695875,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,    4955,,    1480,,    3475,,    4955,,    1480,,    3475,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,  192190,,   36890,,  155305,,  192190,,   36890,,  155305,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",, 2499625,,  962530,, 1537095,, 2499625,,  962530,, 1537095,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,  449870,,  222120,,  227755,,  449870,,  222120,,  227755,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,  195830,,   79945,,  115880,,  195830,,   79945,,  115880,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,   89205,,   42265,,   46945,,   89205,,   42265,,   46945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,    9280,,    3850,,    5430,,    9280,,    3850,,    5430,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,  132935,,   87025,,   45905,,  132935,,   87025,,   45905,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,   22625,,    9035,,   13590,,   22625,,    9035,,   13590,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,  567415,,  368840,,  198575,,  567415,,  368840,,  198575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,  464000,,  321805,,  142190,,  464000,,  321805,,  142190,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,   29955,,    4870,,   25080,,   29955,,    4870,,   25080,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,   65620,,   36895,,   28725,,   65620,,   36895,,   28725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,    7840,,    5270,,    2575,,    7840,,    5270,,    2575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",, 2532555,, 2271735,,  260820,, 2532555,, 2271735,,  260820,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,   93135,,   57280,,   35850,,   93135,,   57280,,   35850,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,  612265,,  490980,,  121285,,  612265,,  490980,,  121285,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,  475045,,  418595,,   56450,,  475045,,  418595,,   56450,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,     350,,      70,,     275,,     350,,      70,,     275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,  515630,,  499670,,   15960,,  515630,,  499670,,   15960,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,  540800,,  523425,,   17375,,  540800,,  523425,,   17375,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,  295335,,  281715,,   13620,,  295335,,  281715,,   13620,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,  269445,,  167680,,  101770,,  269445,,  167680,,  101770,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,  159975,,   94680,,   65295,,  159975,,   94680,,   65295,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,  109470,,   73000,,   36470,,  109470,,   73000,,   36470,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",, 1749545,,  342395,, 1407145,, 1749545,,  342395,, 1407145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,  129560,,   63315,,   66245,,  129560,,   63315,,   66245,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",, 1576945,,  256895,, 1320050,, 1576945,,  256895,, 1320050,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,   43040,,   22185,,   20860,,   43040,,   22185,,   20860,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,  770950,,  392820,,  378135,,  770950,,  392820,,  378135,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,  431415,,  114395,,  317025,,  431415,,  114395,,  317025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,    2725,,    2355,,     375,,    2725,,    2355,,     375,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,    4425,,    3975,,     445,,    4425,,    3975,,     445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,  162995,,  116750,,   46240,,  162995,,  116750,,   46240,
